Results Table 1;;;;;
;;;;;
;;;;;
;Aço 1016;;;;
;Time;Displacement;Force;Tensile strain (Strain 2);Tensile stress
;(s);(mm);(kN);(mm/mm);(MPa)
;0.0000;-0.00472;0.00508;0.00000;0.21382
;0.0660;-0.00395;0.00778;0.00000;0.32735
;0.0840;-0.00347;0.01065;0.00000;0.44807
;0.0940;-0.00305;0.01348;0.00000;0.56746
;0.1020;-0.00275;0.01660;0.00000;0.69852
;0.1080;-0.00245;0.01939;0.00000;0.81598
;0.1140;-0.00215;0.02290;0.00000;0.96405
;0.1180;-0.00197;0.02554;0.00000;1.07497
;0.1220;-0.00173;0.02836;0.00001;1.19354
;0.1260;-0.00149;0.03126;0.00001;1.31571
;0.1300;-0.00126;0.03429;0.00001;1.44332
;0.1340;-0.00102;0.03756;0.00001;1.58088
;0.1380;-0.00078;0.04106;0.00001;1.72818
;0.1420;-0.00048;0.04467;0.00001;1.88036
;0.1460;-0.00024;0.04844;0.00001;2.03868
;0.1500;0.00006;0.05230;0.00001;2.20140
;0.1540;0.00036;0.05616;0.00001;2.36390
;0.1580;0.00060;0.06000;0.00001;2.52562
;0.1620;0.00090;0.06370;0.00001;2.68128
;0.1660;0.00120;0.06718;0.00001;2.82783
;0.1700;0.00149;0.07041;0.00001;2.96368
;0.1740;0.00179;0.07333;0.00001;3.08630
;0.1780;0.00209;0.07589;0.00001;3.19430
;0.1840;0.00257;0.07919;0.00001;3.33324
;0.1900;0.00305;0.08197;0.00002;3.45035
;0.1980;0.00371;0.08489;0.00002;3.57306
;0.2080;0.00448;0.08776;0.00001;3.69402
;0.2200;0.00544;0.09044;0.00001;3.80671
;0.2400;0.00700;0.09295;0.00002;3.91213
;0.2620;0.00867;0.09562;0.00002;4.02455
;0.2820;0.01016;0.09822;0.00002;4.13429
;0.3020;0.01160;0.10084;0.00002;4.24462
;0.3220;0.01303;0.10356;0.00002;4.35901
;0.3500;0.01507;0.10608;0.00002;4.46490
;0.3680;0.01638;0.10870;0.00002;4.57524
;0.3880;0.01770;0.11140;0.00002;4.68895
;0.4140;0.01937;0.11404;0.00003;4.79994
;0.4380;0.02093;0.11666;0.00003;4.91042
;0.4580;0.02218;0.11920;0.00003;5.01730
;0.4800;0.02362;0.12178;0.00003;5.12578
;0.5100;0.02565;0.12445;0.00003;5.23816
;0.5320;0.02702;0.12715;0.00003;5.35172
;0.5540;0.02840;0.12979;0.00003;5.46291
;0.5760;0.02972;0.13229;0.00003;5.56824
;0.6060;0.03157;0.13490;0.00003;5.67788
;0.6240;0.03265;0.13740;0.00003;5.78333
;0.6420;0.03372;0.14017;0.00003;5.89995
;0.6560;0.03462;0.14269;0.00003;6.00598
;0.6700;0.03551;0.14526;0.00003;6.11420
;0.6880;0.03665;0.14782;0.00003;6.22183
;0.7040;0.03767;0.15034;0.00003;6.32782
;0.7180;0.03844;0.15308;0.00003;6.44305
;0.7300;0.03916;0.15563;0.00003;6.55036
;0.7400;0.03976;0.15845;0.00003;6.66933
;0.7480;0.04024;0.16103;0.00003;6.77780
;0.7560;0.04072;0.16390;0.00003;6.89851
;0.7640;0.04114;0.16712;0.00004;7.03438
;0.7720;0.04161;0.17015;0.00004;7.16192
;0.7800;0.04209;0.17325;0.00004;7.29224
;0.7860;0.04245;0.17576;0.00004;7.39779
;0.7920;0.04281;0.17844;0.00004;7.51083
;0.7980;0.04311;0.18121;0.00004;7.62735
;0.8040;0.04347;0.18391;0.00004;7.74072
;0.8120;0.04401;0.18717;0.00004;7.87825
;0.8200;0.04448;0.19045;0.00004;8.01626
;0.8260;0.04484;0.19306;0.00004;8.12616
;0.8340;0.04532;0.19628;0.00004;8.26141
;0.8420;0.04586;0.19915;0.00004;8.38247
;0.8500;0.04634;0.20187;0.00004;8.49702
;0.8580;0.04687;0.20465;0.00004;8.61388
;0.8680;0.04747;0.20747;0.00004;8.73264
;0.8800;0.04819;0.21033;0.00004;8.85275
;0.8920;0.04891;0.21285;0.00004;8.95902
;0.9040;0.04957;0.21559;0.00004;9.07444
;0.9160;0.05028;0.21832;0.00004;9.18914
;0.9280;0.05100;0.22097;0.00004;9.30060
;0.9420;0.05184;0.22347;0.00004;9.40593
;0.9560;0.05267;0.22618;0.00004;9.52010
;0.9680;0.05333;0.22884;0.00005;9.63190
;0.9800;0.05405;0.23141;0.00005;9.74019
;0.9920;0.05483;0.23414;0.00005;9.85499
;1.0020;0.05542;0.23678;0.00005;9.96627
;1.0120;0.05602;0.23930;0.00005;10.07233
;1.0240;0.05680;0.24206;0.00005;10.18841
;1.0360;0.05752;0.24462;0.00005;10.29605
;1.0500;0.05841;0.24753;0.00005;10.41886
;1.0600;0.05901;0.25023;0.00005;10.53234
;1.0700;0.05961;0.25285;0.00005;10.64275
;1.0800;0.06015;0.25544;0.00005;10.75154
;1.0900;0.06075;0.25812;0.00005;10.86462
;1.1000;0.06134;0.26094;0.00005;10.98307
;1.1100;0.06188;0.26376;0.00005;11.10183
;1.1200;0.06248;0.26626;0.00005;11.20709
;1.1320;0.06314;0.26912;0.00005;11.32738
;1.1420;0.06374;0.27198;0.00005;11.44767
;1.1500;0.06421;0.27455;0.00005;11.55616
;1.1580;0.06469;0.27718;0.00005;11.66682
;1.1660;0.06517;0.27994;0.00005;11.78273
;1.1740;0.06565;0.28271;0.00005;11.89935
;1.1820;0.06613;0.28531;0.00005;12.00895
;1.1900;0.06667;0.28797;0.00005;12.12086
;1.1980;0.06714;0.29074;0.00005;12.23742
;1.2060;0.06762;0.29353;0.00005;12.35469
;1.2140;0.06816;0.29649;0.00005;12.47956
;1.2220;0.06864;0.29974;0.00005;12.61629
;1.2300;0.06912;0.30294;0.00006;12.75098
;1.2380;0.06959;0.30584;0.00006;12.87281
;1.2460;0.07007;0.30836;0.00006;12.97912
;1.2540;0.07055;0.31093;0.00006;13.08739
;1.2620;0.07097;0.31355;0.00006;13.19760
;1.2700;0.07145;0.31635;0.00005;13.31525
;1.2780;0.07193;0.31921;0.00005;13.43594
;1.2860;0.07241;0.32220;0.00005;13.56152
;1.2940;0.07288;0.32513;0.00005;13.68498
;1.3020;0.07336;0.32803;0.00005;13.80688
;1.3100;0.07384;0.33096;0.00005;13.93044
;1.3180;0.07432;0.33374;0.00005;14.04734
;1.3260;0.07486;0.33674;0.00006;14.17362
;1.3340;0.07527;0.34008;0.00005;14.31423
;1.3420;0.07575;0.34328;0.00005;14.44873
;1.3500;0.07629;0.34655;0.00005;14.58636
;1.3560;0.07665;0.34910;0.00005;14.69378
;1.3620;0.07701;0.35170;0.00006;14.80329
;1.3680;0.07737;0.35443;0.00006;14.91806
;1.3740;0.07779;0.35717;0.00006;15.03369
;1.3800;0.07814;0.35994;0.00006;15.15024
;1.3860;0.07856;0.36282;0.00006;15.27112
;1.3920;0.07892;0.36572;0.00006;15.39350
;1.3980;0.07928;0.36882;0.00006;15.52381
;1.4040;0.07964;0.37201;0.00006;15.65801
;1.4100;0.08000;0.37528;0.00006;15.79591
;1.4160;0.08042;0.37875;0.00006;15.94200
;1.4220;0.08072;0.38218;0.00006;16.08624
;1.4280;0.08107;0.38541;0.00006;16.22224
;1.4340;0.08143;0.38854;0.00006;16.35385
;1.4400;0.08179;0.39171;0.00006;16.48711
;1.4460;0.08215;0.39493;0.00006;16.62292
;1.4520;0.08251;0.39806;0.00006;16.75472
;1.4580;0.08281;0.40118;0.00006;16.88590
;1.4640;0.08317;0.40429;0.00006;17.01684
;1.4700;0.08353;0.40741;0.00006;17.14792
;1.4760;0.08388;0.41031;0.00006;17.27016
;1.4820;0.08424;0.41317;0.00006;17.39040
;1.4880;0.08460;0.41632;0.00006;17.52303
;1.4940;0.08502;0.41958;0.00007;17.66030
;1.5000;0.08532;0.42274;0.00007;17.79351
;1.5060;0.08568;0.42604;0.00007;17.93216
;1.5120;0.08604;0.42940;0.00007;18.07350
;1.5180;0.08640;0.43270;0.00006;18.21250
;1.5240;0.08675;0.43595;0.00007;18.34931
;1.5300;0.08717;0.43920;0.00007;18.48611
;1.5360;0.08753;0.44226;0.00007;18.61493
;1.5420;0.08789;0.44534;0.00007;18.74454
;1.5480;0.08825;0.44853;0.00007;18.87878
;1.5540;0.08861;0.45192;0.00007;19.02146
;1.5600;0.08897;0.45539;0.00007;19.16754
;1.5660;0.08933;0.45871;0.00007;19.30717
;1.5720;0.08968;0.46211;0.00007;19.45041
;1.5780;0.09010;0.46549;0.00007;19.59295
;1.5840;0.09046;0.46887;0.00007;19.73484
;1.5900;0.09076;0.47194;0.00007;19.86440
;1.5960;0.09112;0.47503;0.00007;19.99411
;1.6020;0.09148;0.47823;0.00007;20.12914
;1.6080;0.09184;0.48138;0.00007;20.26170
;1.6140;0.09220;0.48442;0.00007;20.38966
;1.6200;0.09249;0.48739;0.00007;20.51436
;1.6260;0.09285;0.49045;0.00007;20.64329
;1.6320;0.09321;0.49365;0.00007;20.77798
;1.6380;0.09363;0.49708;0.00007;20.92241
;1.6440;0.09393;0.50052;0.00008;21.06708
;1.6500;0.09429;0.50393;0.00008;21.21052
;1.6560;0.09471;0.50721;0.00008;21.34855
;1.6620;0.09507;0.51052;0.00008;21.48815
;1.6680;0.09536;0.51397;0.00008;21.63338
;1.6740;0.09578;0.51749;0.00008;21.78156
;1.6800;0.09614;0.52104;0.00008;21.93088
;1.6860;0.09650;0.52455;0.00008;22.07862
;1.6920;0.09680;0.52806;0.00008;22.22648
;1.6980;0.09722;0.53145;0.00008;22.36889
;1.7040;0.09758;0.53477;0.00008;22.50875
;1.7100;0.09794;0.53795;0.00008;22.64282
;1.7160;0.09829;0.54119;0.00008;22.77913
;1.7220;0.09871;0.54458;0.00008;22.92167
;1.7280;0.09907;0.54812;0.00008;23.07088
;1.7340;0.09943;0.55175;0.00008;23.22333
;1.7400;0.09985;0.55548;0.00008;23.38044
;1.7460;0.10021;0.55924;0.00008;23.53866
;1.7500;0.10045;0.56183;0.00009;23.64767
;1.7560;0.10075;0.56548;0.00009;23.80151
;1.7620;0.10110;0.56909;0.00009;23.95330
;1.7660;0.10134;0.57160;0.00009;24.05903
;1.7700;0.10164;0.57414;0.00009;24.16599
;1.7760;0.10194;0.57789;0.00009;24.32359
;1.7820;0.10230;0.58159;0.00009;24.47929
;1.7880;0.10266;0.58535;0.00009;24.63766
;1.7920;0.10290;0.58789;0.00009;24.74446
;1.7980;0.10326;0.59144;0.00009;24.89407
;1.8040;0.10362;0.59506;0.00009;25.04649
;1.8080;0.10385;0.59760;0.00009;25.15341
;1.8120;0.10409;0.60018;0.00009;25.26193
;1.8160;0.10433;0.60276;0.00009;25.37065
;1.8200;0.10457;0.60534;0.00009;25.47906
;1.8240;0.10481;0.60790;0.00009;25.58682
;1.8300;0.10511;0.61159;0.00009;25.74197
;1.8360;0.10547;0.61512;0.00009;25.89081
;1.8420;0.10583;0.61864;0.00009;26.03902
;1.8480;0.10625;0.62210;0.00009;26.18454
;1.8540;0.10660;0.62558;0.00009;26.33088
;1.8600;0.10696;0.62931;0.00009;26.48783
;1.8640;0.10720;0.63198;0.00009;26.60026
;1.8680;0.10744;0.63467;0.00009;26.71365
;1.8720;0.10768;0.63733;0.00009;26.82575
;1.8760;0.10792;0.64001;0.00009;26.93840
;1.8800;0.10816;0.64260;0.00010;27.04729
;1.8860;0.10852;0.64632;0.00010;27.20391
;1.8900;0.10876;0.64887;0.00010;27.31117
;1.8940;0.10900;0.65153;0.00010;27.42322
;1.8980;0.10930;0.65418;0.00010;27.53462
;1.9020;0.10953;0.65679;0.00010;27.64447
;1.9060;0.10977;0.65936;0.00010;27.75286
;1.9100;0.11001;0.66193;0.00010;27.86102
;1.9140;0.11025;0.66455;0.00010;27.97133
;1.9180;0.11049;0.66723;0.00010;28.08420
;1.9220;0.11073;0.66991;0.00010;28.19698
;1.9260;0.11097;0.67253;0.00010;28.30724
;1.9300;0.11115;0.67511;0.00010;28.41564
;1.9340;0.11139;0.67762;0.00010;28.52140
;1.9380;0.11163;0.68014;0.00010;28.62755
;1.9420;0.11187;0.68265;0.00010;28.73308
;1.9480;0.11222;0.68639;0.00010;28.89045
;1.9520;0.11246;0.68889;0.00010;28.99595
;1.9580;0.11276;0.69257;0.00010;29.15086
;1.9620;0.11300;0.69510;0.00010;29.25721
;1.9660;0.11324;0.69767;0.00010;29.36520
;1.9700;0.11348;0.70023;0.00010;29.47310
;1.9740;0.11372;0.70278;0.00010;29.58042
;1.9780;0.11396;0.70530;0.00010;29.68661
;1.9820;0.11420;0.70786;0.00010;29.79429
;1.9860;0.11444;0.71048;0.00010;29.90470
;1.9900;0.11468;0.71317;0.00010;30.01777
;1.9940;0.11492;0.71581;0.00010;30.12894
;1.9980;0.11515;0.71844;0.00010;30.23956
;2.0020;0.11539;0.72107;0.00010;30.35038
;2.0060;0.11557;0.72370;0.00010;30.46108
;2.0100;0.11581;0.72629;0.00010;30.56992
;2.0140;0.11605;0.72884;0.00010;30.67724
;2.0180;0.11635;0.73136;0.00010;30.78343
