Results Table 1
,Sample,E-modulus,Tensile stress at Yield (Offset 0.2 %),Maximum Tensile stress,Tensile stress at Break (Standard),% Elongation at break at Non-proportional elongation (Standard),% Elongation at tensile strength at Non-proportional elongation (Standard),Strain hardening exponent at N Value,Area under curve total,Area under curve at tensile stress at yield
,,(GPa),(MPa),(MPa),(MPa),(%),(%),,(N-mm/mm^3),(N-mm/mm^3)
1,"Aço 1055","110.351","588.719","939.877","650.677","14.34","10.02","0.201","-----","-----"
1,Time,Displacement,Force,Tensile strain (Strain 2),Tensile stress
,(s),(mm),(kN),(mm/mm),(MPa)
"","0.0000","-0.05602","0.00661","0.00000","0.27843"
"","0.0760","-0.05501","0.00930","0.00000","0.39128"
"","0.0880","-0.05459","0.01234","0.00000","0.51952"
"","0.0960","-0.05423","0.01512","0.00000","0.63649"
"","0.1020","-0.05393","0.01781","0.00000","0.74949"
"","0.1080","-0.05363","0.02116","0.00000","0.89056"
"","0.1140","-0.05333","0.02483","0.00000","1.04519"
"","0.1180","-0.05309","0.02753","0.00001","1.15892"
"","0.1220","-0.05285","0.03044","0.00001","1.28135"
"","0.1260","-0.05261","0.03355","0.00001","1.41228"
"","0.1300","-0.05238","0.03682","0.00001","1.54996"
"","0.1340","-0.05208","0.04030","0.00001","1.69618"
"","0.1380","-0.05184","0.04389","0.00001","1.84735"
"","0.1420","-0.05154","0.04749","0.00001","1.99899"
"","0.1460","-0.05130","0.05098","0.00001","2.14575"
"","0.1500","-0.05100","0.05431","0.00001","2.28603"
"","0.1540","-0.05070","0.05747","0.00001","2.41906"
"","0.1580","-0.05046","0.06039","0.00001","2.54201"
"","0.1620","-0.05016","0.06305","0.00001","2.65384"
"","0.1680","-0.04969","0.06651","0.00001","2.79959"
"","0.1740","-0.04927","0.06931","0.00001","2.91724"
"","0.1820","-0.04861","0.07238","0.00001","3.04668"
"","0.1940","-0.04765","0.07515","0.00001","3.16309"
"","0.2200","-0.04562","0.07773","0.00002","3.27155"
"","0.2580","-0.04281","0.08025","0.00001","3.37779"
"","0.2920","-0.04030","0.08286","0.00001","3.48752"
"","0.3380","-0.03695","0.08544","0.00002","3.59613"
"","0.4060","-0.03235","0.08797","0.00002","3.70255"
"","0.4620","-0.02876","0.09063","0.00001","3.81484"
"","0.5020","-0.02613","0.09316","0.00002","3.92097"
"","0.5540","-0.02290","0.09569","0.00002","4.02761"
"","0.5980","-0.02027","0.09823","0.00002","4.13460"
"","0.6380","-0.01776","0.10075","0.00002","4.24057"
"","0.6860","-0.01483","0.10327","0.00002","4.34653"
"","0.7420","-0.01154","0.10579","0.00002","4.45282"
"","0.8060","-0.00765","0.10833","0.00002","4.55964"
"","0.8400","-0.00550","0.11091","0.00002","4.66808"
"","0.8820","-0.00305","0.11350","0.00002","4.77724"
"","0.9380","0.00030","0.11606","0.00001","4.88499"
"","0.9660","0.00203","0.11864","0.00002","4.99381"
"","1.0060","0.00448","0.12114","0.00002","5.09904"
"","1.0460","0.00688","0.12373","0.00002","5.20767"
"","1.0700","0.00825","0.12633","0.00002","5.31751"
"","1.0920","0.00957","0.12890","0.00002","5.42559"
"","1.1080","0.01046","0.13159","0.00002","5.53858"
"","1.1200","0.01124","0.13414","0.00002","5.64610"
"","1.1300","0.01184","0.13714","0.00002","5.77214"
"","1.1380","0.01232","0.13997","0.00002","5.89158"
"","1.1460","0.01279","0.14301","0.00002","6.01955"
"","1.1520","0.01315","0.14557","0.00002","6.12693"
"","1.1580","0.01351","0.14810","0.00002","6.23382"
"","1.1640","0.01393","0.15068","0.00002","6.34215"
"","1.1700","0.01429","0.15321","0.00002","6.44876"
"","1.1780","0.01477","0.15612","0.00002","6.57131"
"","1.1860","0.01531","0.15876","0.00002","6.68222"
"","1.1960","0.01590","0.16146","0.00002","6.79603"
"","1.2080","0.01662","0.16444","0.00002","6.92116"
"","1.2180","0.01722","0.16713","0.00002","7.03463"
"","1.2300","0.01788","0.16967","0.00002","7.14168"
"","1.2460","0.01883","0.17248","0.00002","7.25971"
"","1.2620","0.01979","0.17518","0.00002","7.37338"
"","1.2780","0.02069","0.17790","0.00002","7.48787"
"","1.2900","0.02146","0.18046","0.00002","7.59557"
"","1.3000","0.02206","0.18303","0.00002","7.70373"
"","1.3100","0.02266","0.18564","0.00002","7.81369"
"","1.3220","0.02338","0.18818","0.00002","7.92052"
"","1.3380","0.02433","0.19101","0.00002","8.03967"
"","1.3540","0.02535","0.19388","0.00002","8.16066"
"","1.3660","0.02613","0.19679","0.00002","8.28295"
"","1.3780","0.02685","0.19952","0.00002","8.39789"
"","1.3880","0.02738","0.20203","0.00002","8.50340"
"","1.4000","0.02810","0.20496","0.00002","8.62708"
"","1.4100","0.02870","0.20767","0.00002","8.74081"
"","1.4200","0.02924","0.21022","0.00002","8.84822"
"","1.4300","0.02983","0.21300","0.00002","8.96510"
"","1.4400","0.03043","0.21585","0.00002","9.08535"
"","1.4500","0.03103","0.21883","0.00002","9.21062"
"","1.4580","0.03145","0.22148","0.00002","9.32211"
"","1.4660","0.03193","0.22418","0.00002","9.43597"
"","1.4740","0.03247","0.22702","0.00002","9.55526"
"","1.4820","0.03294","0.22997","0.00002","9.67940"
"","1.4900","0.03342","0.23309","0.00002","9.81094"
"","1.4960","0.03372","0.23563","0.00002","9.91799"
"","1.5020","0.03414","0.23818","0.00002","10.02515"
"","1.5080","0.03450","0.24079","0.00002","10.13518"
"","1.5140","0.03486","0.24352","0.00002","10.25009"
"","1.5200","0.03522","0.24645","0.00002","10.37303"
"","1.5260","0.03563","0.24933","0.00002","10.49441"
"","1.5320","0.03599","0.25217","0.00003","10.61378"
"","1.5380","0.03635","0.25509","0.00003","10.73690"
"","1.5440","0.03677","0.25807","0.00003","10.86228"
"","1.5500","0.03713","0.26119","0.00003","10.99357"
"","1.5560","0.03749","0.26432","0.00003","11.12536"
"","1.5620","0.03779","0.26723","0.00003","11.24780"
"","1.5680","0.03815","0.26991","0.00003","11.36079"
"","1.5740","0.03850","0.27255","0.00003","11.47186"
"","1.5800","0.03886","0.27513","0.00003","11.58031"
"","1.5860","0.03922","0.27774","0.00003","11.69031"
"","1.5920","0.03958","0.28047","0.00003","11.80494"
"","1.5980","0.03988","0.28316","0.00003","11.91832"
"","1.6040","0.04024","0.28600","0.00003","12.03772"
"","1.6100","0.04060","0.28878","0.00003","12.15475"
"","1.6160","0.04096","0.29167","0.00003","12.27667"
"","1.6220","0.04137","0.29466","0.00003","12.40233"
"","1.6280","0.04167","0.29765","0.00003","12.52807"
"","1.6340","0.04203","0.30057","0.00003","12.65116"
"","1.6400","0.04239","0.30325","0.00003","12.76383"
"","1.6460","0.04281","0.30577","0.00003","12.87020"
"","1.6520","0.04311","0.30835","0.00003","12.97865"
"","1.6580","0.04347","0.31106","0.00003","13.09249"
"","1.6640","0.04389","0.31361","0.00003","13.20008"
"","1.6720","0.04436","0.31678","0.00003","13.33352"
"","1.6780","0.04472","0.31943","0.00003","13.44479"
"","1.6840","0.04508","0.32212","0.00003","13.55821"
"","1.6900","0.04544","0.32499","0.00003","13.67918"
"","1.6960","0.04586","0.32797","0.00003","13.80459"
"","1.7020","0.04622","0.33100","0.00003","13.93184"
"","1.7080","0.04664","0.33418","0.00003","14.06593"
"","1.7140","0.04699","0.33734","0.00003","14.19884"
"","1.7200","0.04735","0.34048","0.00003","14.33087"
"","1.7260","0.04771","0.34352","0.00004","14.45907"
"","1.7320","0.04807","0.34622","0.00004","14.57262"
"","1.7400","0.04855","0.34941","0.00004","14.70704"
"","1.7480","0.04903","0.35257","0.00004","14.83976"
"","1.7560","0.04945","0.35589","0.00004","14.97979"
"","1.7620","0.04980","0.35843","0.00004","15.08639"
"","1.7700","0.05028","0.36173","0.00004","15.22556"
"","1.7760","0.05064","0.36442","0.00004","15.33869"
"","1.7820","0.05100","0.36725","0.00004","15.45772"
"","1.7880","0.05136","0.37006","0.00004","15.57591"
"","1.7940","0.05166","0.37280","0.00004","15.69140"
"","1.8000","0.05202","0.37559","0.00004","15.80887"
"","1.8060","0.05238","0.37843","0.00004","15.92826"
"","1.8120","0.05273","0.38112","0.00004","16.04153"
"","1.8180","0.05309","0.38392","0.00004","16.15931"
"","1.8240","0.05345","0.38675","0.00004","16.27861"
"","1.8300","0.05381","0.38938","0.00004","16.38930"
"","1.8360","0.05417","0.39202","0.00004","16.50036"
"","1.8420","0.05453","0.39469","0.00004","16.61287"
"","1.8480","0.05489","0.39720","0.00004","16.71816"
"","1.8540","0.05525","0.40000","0.00004","16.83619"
"","1.8600","0.05566","0.40310","0.00004","16.96655"
"","1.8660","0.05602","0.40624","0.00004","17.09892"
"","1.8720","0.05638","0.40948","0.00004","17.23523"
"","1.8780","0.05680","0.41263","0.00004","17.36768"
"","1.8840","0.05716","0.41573","0.00004","17.49845"
"","1.8900","0.05752","0.41876","0.00004","17.62569"
"","1.8960","0.05788","0.42162","0.00004","17.74615"
"","1.9020","0.05823","0.42440","0.00004","17.86323"
"","1.9080","0.05859","0.42736","0.00004","17.98770"
"","1.9140","0.05895","0.43012","0.00004","18.10398"
"","1.9200","0.05931","0.43272","0.00005","18.21330"
"","1.9260","0.05967","0.43524","0.00005","18.31952"
"","1.9340","0.06009","0.43851","0.00005","18.45717"
"","1.9420","0.06057","0.44183","0.00005","18.59691"
"","1.9500","0.06105","0.44505","0.00005","18.73252"
"","1.9580","0.06152","0.44833","0.00005","18.87060"
"","1.9640","0.06188","0.45101","0.00005","18.98347"
"","1.9700","0.06224","0.45392","0.00005","19.10575"
"","1.9760","0.06260","0.45683","0.00005","19.22804"
"","1.9820","0.06296","0.45968","0.00005","19.34836"
"","1.9880","0.06332","0.46254","0.00005","19.46854"
"","1.9940","0.06368","0.46546","0.00005","19.59168"
"","2.0000","0.06403","0.46821","0.00005","19.70718"
"","2.0060","0.06433","0.47087","0.00005","19.81901"
"","2.0120","0.06475","0.47363","0.00005","19.93526"
"","2.0180","0.06511","0.47647","0.00005","20.05478"
"","2.0240","0.06547","0.47942","0.00005","20.17886"
"","2.0300","0.06583","0.48249","0.00005","20.30817"
"","2.0360","0.06625","0.48554","0.00005","20.43648"
"","2.0420","0.06661","0.48851","0.00005","20.56166"
"","2.0480","0.06696","0.49166","0.00005","20.69416"
"","2.0540","0.06738","0.49490","0.00005","20.83049"
"","2.0600","0.06774","0.49823","0.00005","20.97076"
"","2.0660","0.06810","0.50156","0.00005","21.11094"
"","2.0720","0.06846","0.50495","0.00005","21.25362"
"","2.0780","0.06882","0.50838","0.00005","21.39801"
"","2.0840","0.06918","0.51155","0.00005","21.53152"
"","2.0900","0.06954","0.51467","0.00005","21.66286"
"","2.0960","0.06989","0.51783","0.00005","21.79555"
"","2.1020","0.07025","0.52110","0.00005","21.93330"
"","2.1080","0.07061","0.52419","0.00005","22.06337"
"","2.1140","0.07097","0.52717","0.00005","22.18905"
"","2.1200","0.07133","0.53004","0.00005","22.30955"
"","2.1260","0.07169","0.53294","0.00005","22.43157"
"","2.1320","0.07199","0.53581","0.00005","22.55262"
"","2.1380","0.07235","0.53883","0.00005","22.67986"
"","2.1440","0.07270","0.54194","0.00005","22.81041"
"","2.1500","0.07306","0.54510","0.00005","22.94376"
"","2.1560","0.07342","0.54854","0.00005","23.08822"
"","2.1620","0.07378","0.55202","0.00005","23.23474"
"","2.1680","0.07414","0.55534","0.00005","23.37462"
"","2.1740","0.07450","0.55862","0.00005","23.51272"
"","2.1800","0.07486","0.56200","0.00005","23.65498"
"","2.1860","0.07522","0.56544","0.00005","23.79956"
"","2.1920","0.07557","0.56877","0.00005","23.93995"
"","2.1980","0.07593","0.57222","0.00005","24.08522"
"","2.2040","0.07629","0.57558","0.00006","24.22642"
"","2.2100","0.07671","0.57899","0.00006","24.37017"
"","2.2160","0.07707","0.58265","0.00006","24.52406"
"","2.2220","0.07749","0.58636","0.00006","24.68034"
"","2.2280","0.07785","0.59008","0.00006","24.83697"
