Strain	Stress
0	0,27843
0	0,39128
0	0,51952
0	0,63649
0	0,74949
0	0,89056
0	1,04519
1,00E-05	1,15892
1,00E-05	1,28135
1,00E-05	1,41228
1,00E-05	1,54996
1,00E-05	1,69618
1,00E-05	1,84735
1,00E-05	1,99899
1,00E-05	2,14575
1,00E-05	2,28603
1,00E-05	2,41906
1,00E-05	2,54201
1,00E-05	2,65384
1,00E-05	2,79959
1,00E-05	2,91724
1,00E-05	3,04668
1,00E-05	3,16309
2,00E-05	3,27155
1,00E-05	3,37779
1,00E-05	3,48752
2,00E-05	3,59613
2,00E-05	3,70255
1,00E-05	3,81484
2,00E-05	3,92097
2,00E-05	4,02761
2,00E-05	4,1346
2,00E-05	4,24057
2,00E-05	4,34653
2,00E-05	4,45282
2,00E-05	4,55964
2,00E-05	4,66808
2,00E-05	4,77724
1,00E-05	4,88499
2,00E-05	4,99381
2,00E-05	5,09904
2,00E-05	5,20767
2,00E-05	5,31751
2,00E-05	5,42559
2,00E-05	5,53858
2,00E-05	5,6461
2,00E-05	5,77214
2,00E-05	5,89158
2,00E-05	6,01955
2,00E-05	6,12693
2,00E-05	6,23382
2,00E-05	6,34215
2,00E-05	6,44876
2,00E-05	6,57131
2,00E-05	6,68222
2,00E-05	6,79603
2,00E-05	6,92116
2,00E-05	7,03463
2,00E-05	7,14168
2,00E-05	7,25971
2,00E-05	7,37338
2,00E-05	7,48787
2,00E-05	7,59557
2,00E-05	7,70373
2,00E-05	7,81369
2,00E-05	7,92052
2,00E-05	8,03967
2,00E-05	8,16066
2,00E-05	8,28295
2,00E-05	8,39789
2,00E-05	8,5034
2,00E-05	8,62708
2,00E-05	8,74081
2,00E-05	8,84822
2,00E-05	8,9651
2,00E-05	9,08535
2,00E-05	9,21062
2,00E-05	9,32211
2,00E-05	9,43597
2,00E-05	9,55526
2,00E-05	9,6794
2,00E-05	9,81094
2,00E-05	9,91799
2,00E-05	10,02515
2,00E-05	10,13518
2,00E-05	10,25009
2,00E-05	10,37303
2,00E-05	10,49441
3,00E-05	10,61378
3,00E-05	10,7369
3,00E-05	10,86228
3,00E-05	10,99357
3,00E-05	11,12536
3,00E-05	11,2478
3,00E-05	11,36079
3,00E-05	11,47186
3,00E-05	11,58031
3,00E-05	11,69031
3,00E-05	11,80494
3,00E-05	11,91832
3,00E-05	12,03772
3,00E-05	12,15475
3,00E-05	12,27667
3,00E-05	12,40233
3,00E-05	12,52807
3,00E-05	12,65116
3,00E-05	12,76383
3,00E-05	12,8702
3,00E-05	12,97865
3,00E-05	13,09249
3,00E-05	13,20008
3,00E-05	13,33352
3,00E-05	13,44479
3,00E-05	13,55821
3,00E-05	13,67918
3,00E-05	13,80459
3,00E-05	13,93184
3,00E-05	14,06593
3,00E-05	14,19884
3,00E-05	14,33087
4,00E-05	14,45907
4,00E-05	14,57262
4,00E-05	14,70704
4,00E-05	14,83976
4,00E-05	14,97979
4,00E-05	15,08639
4,00E-05	15,22556
4,00E-05	15,33869
4,00E-05	15,45772
4,00E-05	15,57591
4,00E-05	15,6914
4,00E-05	15,80887
4,00E-05	15,92826
4,00E-05	16,04153
4,00E-05	16,15931
4,00E-05	16,27861
4,00E-05	16,3893
4,00E-05	16,50036
4,00E-05	16,61287
4,00E-05	16,71816
4,00E-05	16,83619
4,00E-05	16,96655
4,00E-05	17,09892
4,00E-05	17,23523
4,00E-05	17,36768
4,00E-05	17,49845
4,00E-05	17,62569
4,00E-05	17,74615
4,00E-05	17,86323
4,00E-05	17,9877
4,00E-05	18,10398
5,00E-05	18,2133
5,00E-05	18,31952
5,00E-05	18,45717
5,00E-05	18,59691
5,00E-05	18,73252
5,00E-05	18,8706
5,00E-05	18,98347
5,00E-05	19,10575
5,00E-05	19,22804
5,00E-05	19,34836
5,00E-05	19,46854
5,00E-05	19,59168
5,00E-05	19,70718
5,00E-05	19,81901
5,00E-05	19,93526
5,00E-05	20,05478
5,00E-05	20,17886
5,00E-05	20,30817
5,00E-05	20,43648
5,00E-05	20,56166
5,00E-05	20,69416
5,00E-05	20,83049
5,00E-05	20,97076
5,00E-05	21,11094
5,00E-05	21,25362
5,00E-05	21,39801
5,00E-05	21,53152
5,00E-05	21,66286
5,00E-05	21,79555
5,00E-05	21,9333
5,00E-05	22,06337
5,00E-05	22,18905
5,00E-05	22,30955
5,00E-05	22,43157
5,00E-05	22,55262
5,00E-05	22,67986
5,00E-05	22,81041
5,00E-05	22,94376
5,00E-05	23,08822
5,00E-05	23,23474
5,00E-05	23,37462
5,00E-05	23,51272
5,00E-05	23,65498
5,00E-05	23,79956
5,00E-05	23,93995
5,00E-05	24,08522
6,00E-05	24,22642
6,00E-05	24,37017
6,00E-05	24,52406
6,00E-05	24,68034
6,00E-05	24,83697
6,00E-05	24,94232
6,00E-05	25,09377
6,00E-05	25,24444
6,00E-05	25,3883
6,00E-05	25,52771
6,00E-05	25,66594
6,00E-05	25,8095
6,00E-05	25,95985
6,00E-05	26,11114
6,00E-05	26,25947
6,00E-05	26,41113
6,00E-05	26,56565
6,00E-05	26,72023
6,00E-05	26,86964
6,00E-05	27,01939
6,00E-05	27,16632
6,00E-05	27,31627
6,00E-05	27,46387
6,00E-05	27,60624
6,00E-05	27,75
6,00E-05	27,89841
6,00E-05	28,05087
7,00E-05	28,20534
7,00E-05	28,35973
7,00E-05	28,46502
7,00E-05	28,6206
7,00E-05	28,72583
7,00E-05	28,88523
7,00E-05	29,00033
7,00E-05	29,11869
7,00E-05	29,23659
7,00E-05	29,35107
7,00E-05	29,46125
7,00E-05	29,57084
7,00E-05	29,68022
7,00E-05	29,78665
7,00E-05	29,94094
7,00E-05	30,0936
7,00E-05	30,19963
7,00E-05	30,30577
7,00E-05	30,41201
7,00E-05	30,52202
7,00E-05	30,63296
7,00E-05	30,74265
7,00E-05	30,85263
7,00E-05	30,96213
7,00E-05	31,0685
7,00E-05	31,1738
7,00E-05	31,3319
7,00E-05	31,44074
7,00E-05	31,55169
7,00E-05	31,66115
7,00E-05	31,76965
7,00E-05	31,87691
7,00E-05	32,03027
7,00E-05	32,17448
7,00E-05	32,30677
7,00E-05	32,42922
7,00E-05	32,56605
7,00E-05	32,69284
8,00E-05	32,82965
8,00E-05	32,93782
8,00E-05	33,06099
8,00E-05	33,19341
8,00E-05	33,33925
8,00E-05	33,49509
8,00E-05	33,60471
8,00E-05	33,71293
8,00E-05	33,81873
8,00E-05	33,9761
8,00E-05	34,13338
8,00E-05	34,29019
8,00E-05	34,39565
8,00E-05	34,50315
8,00E-05	34,61106
8,00E-05	34,71957
8,00E-05	34,82784
8,00E-05	34,93729
8,00E-05	35,04436
8,00E-05	35,19801
8,00E-05	35,34887
9,00E-05	35,49967
9,00E-05	35,6506
9,00E-05	35,79825
9,00E-05	35,94813
9,00E-05	36,05465
9,00E-05	36,1656
9,00E-05	36,27539
9,00E-05	36,38233
9,00E-05	36,48831
9,00E-05	36,59931
9,00E-05	36,71383
9,00E-05	36,82991
9,00E-05	36,946
9,00E-05	37,06181
9,00E-05	37,17985
9,00E-05	37,30209
9,00E-05	37,42628
9,00E-05	37,54866
9,00E-05	37,66319
1,00E-04	37,77736
1,00E-04	37,89431
1,00E-04	38,01434
1,00E-04	38,1374
1,00E-04	38,26382
1,00E-04	38,39201
1,00E-04	38,51757
1,00E-04	38,63862
1,00E-04	38,76121
1,00E-04	38,88349
1,00E-04	39,0022
1,00E-04	39,11852
1,00E-04	39,23481
1,00E-04	39,35411
1,00E-04	39,47456
1,00E-04	39,59527
1,00E-04	39,71988
1,00E-04	39,84297
1,00E-04	39,9647
1,00E-04	40,08179
1,00E-04	40,19456
1,10E-04	40,30714
1,10E-04	40,41867
1,10E-04	40,52819
1,10E-04	40,63678
1,10E-04	40,74768
1,10E-04	40,8576
1,10E-04	40,96548
1,10E-04	41,07136
1,10E-04	41,17967
1,10E-04	41,29252
1,10E-04	41,4095
1,10E-04	41,52619
1,10E-04	41,64281
1,10E-04	41,75766
1,10E-04	41,86996
1,10E-04	41,984
1,10E-04	42,10419
1,10E-04	42,22886
1,10E-04	42,35338
1,10E-04	42,47539
1,10E-04	42,59951
1,10E-04	42,72453
1,20E-04	42,84883
1,20E-04	42,97499
1,10E-04	43,10003
1,10E-04	43,22426
1,10E-04	43,35135
1,10E-04	43,48002
1,20E-04	43,61051
1,20E-04	43,73974
1,20E-04	43,86748
1,20E-04	43,99344
1,20E-04	44,11648
1,20E-04	44,23789
1,20E-04	44,35984
1,30E-04	44,48026
1,30E-04	44,60109
1,30E-04	44,72159
1,30E-04	44,84142
1,30E-04	44,95834
1,30E-04	45,07598
1,30E-04	45,19484
1,30E-04	45,3115
1,30E-04	45,42577
1,30E-04	45,54081
1,30E-04	45,65651
1,30E-04	45,76674
1,30E-04	45,87615
1,30E-04	45,9873
1,30E-04	46,09954
1,30E-04	46,21514
1,30E-04	46,33389
1,30E-04	46,45583
1,30E-04	46,58303
1,30E-04	46,71255
1,30E-04	46,83635
1,40E-04	46,95504
1,40E-04	47,07528
1,40E-04	47,19733
1,40E-04	47,322
1,40E-04	47,4535
1,40E-04	47,58859
1,40E-04	47,72448
1,40E-04	47,86105
1,40E-04	47,99708
1,40E-04	48,13192
1,40E-04	48,26307
1,40E-04	48,3951
1,40E-04	48,52832
1,40E-04	48,65873
1,40E-04	48,79094
1,40E-04	48,92545
1,40E-04	49,06373
1,50E-04	49,19993
1,50E-04	49,333
1,50E-04	49,46448
1,50E-04	49,59343
1,50E-04	49,72163
1,50E-04	49,84971
1,50E-04	49,97603
1,60E-04	50,0986
1,60E-04	50,21897
1,60E-04	50,34017
1,60E-04	50,4634
1,60E-04	50,5833
1,60E-04	50,70317
1,60E-04	50,82358
1,60E-04	50,94482
1,60E-04	51,06285
1,60E-04	51,17659
1,60E-04	51,29012
1,60E-04	51,41021
1,60E-04	51,53249
1,60E-04	51,65267
1,60E-04	51,76952
1,60E-04	51,88492
1,60E-04	51,99909
1,60E-04	52,11298
1,60E-04	52,23003
1,60E-04	52,34628
1,60E-04	52,4623
1,60E-04	52,58121
1,60E-04	52,70345
1,60E-04	52,82711
1,60E-04	52,95002
1,60E-04	53,07178
1,70E-04	53,19722
1,70E-04	53,32419
1,70E-04	53,45182
1,70E-04	53,58119
1,70E-04	53,71296
1,70E-04	53,84488
1,70E-04	53,97186
1,70E-04	54,09543
1,70E-04	54,21759
1,70E-04	54,34104
1,70E-04	54,46714
1,70E-04	54,59454
1,70E-04	54,72018
1,70E-04	54,84387
1,80E-04	54,96756
1,80E-04	55,08855
1,80E-04	55,20914
1,80E-04	55,33004
1,80E-04	55,44672
1,80E-04	55,56109
1,80E-04	55,67425
1,80E-04	55,78557
1,80E-04	55,89343
1,80E-04	56,05068
1,80E-04	56,20304
1,80E-04	56,35331
1,80E-04	56,49903
1,80E-04	56,6455
1,90E-04	56,79391
1,90E-04	56,94681
1,90E-04	57,10241
1,90E-04	57,25842
1,90E-04	57,41044
1,90E-04	57,56869
1,90E-04	57,67842
1,90E-04	57,78899
1,90E-04	57,90012
1,90E-04	58,01028
1,90E-04	58,11628
2,00E-04	58,27402
2,00E-04	58,42998
2,00E-04	58,58155
2,00E-04	58,73869
2,00E-04	58,84702
2,00E-04	58,95837
2,00E-04	59,06976
2,00E-04	59,17965
2,00E-04	59,28789
2,00E-04	59,3962
2,00E-04	59,50657
2,00E-04	59,61993
2,00E-04	59,73605
2,00E-04	59,84957
2,00E-04	59,96032
2,00E-04	60,06904
2,00E-04	60,17661
2,10E-04	60,28494
2,10E-04	60,39279
2,10E-04	60,54876
2,10E-04	60,65444
2,10E-04	60,80993
2,10E-04	60,96951
2,10E-04	61,08035
2,10E-04	61,19218
2,10E-04	61,30544
2,10E-04	61,41678
2,10E-04	61,52518
2,10E-04	61,63328
2,10E-04	61,74137
2,10E-04	61,85035
2,10E-04	61,95965
2,10E-04	62,07086
2,10E-04	62,18246
2,10E-04	62,29165
2,10E-04	62,39921
2,10E-04	62,50703
2,20E-04	62,61537
2,20E-04	62,72444
2,20E-04	62,83522
2,20E-04	62,94622
2,20E-04	63,05855
2,20E-04	63,17196
2,20E-04	63,28633
2,20E-04	63,40056
2,20E-04	63,51635
2,20E-04	63,63281
2,20E-04	63,74963
2,20E-04	63,86861
2,20E-04	63,98991
2,20E-04	64,10995
2,20E-04	64,2311
2,30E-04	64,35229
2,30E-04	64,47385
2,30E-04	64,59238
2,30E-04	64,70611
2,30E-04	64,81861
2,30E-04	64,92865
2,30E-04	65,08523
2,30E-04	65,24079
2,30E-04	65,39664
2,30E-04	65,5528
2,30E-04	65,71044
2,30E-04	65,81845
2,30E-04	65,92503
2,30E-04	66,03231
2,30E-04	66,1416
2,30E-04	66,25477
2,30E-04	66,36687
2,40E-04	66,47491
2,40E-04	66,5818
2,40E-04	66,6927
2,40E-04	66,80475
2,40E-04	66,9172
2,40E-04	67,0306
2,40E-04	67,1451
2,40E-04	67,2573
2,40E-04	67,36784
2,40E-04	67,47797
2,40E-04	67,58897
2,40E-04	67,70258
2,40E-04	67,81586
2,50E-04	67,9297
2,50E-04	68,04489
2,50E-04	68,1611
2,50E-04	68,27505
2,50E-04	68,38219
2,50E-04	68,53625
2,50E-04	68,69408
2,50E-04	68,80095
2,50E-04	68,91477
2,60E-04	69,03096
2,60E-04	69,1451
2,60E-04	69,25957
2,60E-04	69,37589
2,60E-04	69,49506
2,60E-04	69,61494
2,60E-04	69,73421
2,60E-04	69,85356
2,60E-04	69,96867
2,60E-04	70,07936
2,60E-04	70,18874
2,60E-04	70,29544
2,60E-04	70,45095
2,60E-04	70,55656
2,60E-04	70,71388
2,60E-04	70,87043
2,60E-04	71,02848
2,60E-04	71,13689
2,60E-04	71,24654
2,60E-04	71,35793
2,60E-04	71,46941
2,60E-04	71,57788
2,70E-04	71,73421
2,70E-04	71,89267
2,70E-04	72,00397
2,70E-04	72,11566
2,70E-04	72,22947
2,70E-04	72,3457
2,70E-04	72,46677
2,70E-04	72,5946
2,70E-04	72,7204
2,70E-04	72,84284
2,70E-04	72,96326
2,70E-04	73,08192
2,70E-04	73,20245
2,70E-04	73,32246
2,70E-04	73,44128
2,70E-04	73,55794
2,70E-04	73,67352
2,80E-04	73,78837
2,80E-04	73,90366
2,80E-04	74,01755
2,80E-04	74,12843
2,80E-04	74,23683
2,80E-04	74,34298
2,80E-04	74,44896
2,80E-04	74,55495
2,80E-04	74,66258
2,80E-04	74,77444
2,90E-04	74,88419
2,90E-04	74,99401
2,90E-04	75,10628
2,90E-04	75,21666
2,90E-04	75,32633
2,90E-04	75,43459
2,90E-04	75,5452
2,90E-04	75,65623
2,90E-04	75,76495
2,90E-04	75,87464
2,90E-04	75,98584
2,90E-04	76,09584
2,90E-04	76,2046
2,90E-04	76,31211
2,90E-04	76,46673
2,90E-04	76,61993
3,00E-04	76,77074
3,00E-04	76,92725
3,00E-04	77,03444
3,00E-04	77,14169
3,00E-04	77,25304
3,00E-04	77,36993
3,00E-04	77,49066
3,00E-04	77,61159
3,00E-04	77,73113
3,00E-04	77,85209
3,00E-04	77,97404
3,00E-04	78,09602
3,00E-04	78,21504
3,00E-04	78,32854
3,00E-04	78,43952
3,00E-04	78,55169
3,00E-04	78,66515
3,00E-04	78,7771
3,00E-04	78,8875
3,10E-04	78,99555
3,10E-04	79,10267
3,10E-04	79,20956
3,10E-04	79,31632
3,10E-04	79,42245
3,10E-04	79,57616
3,10E-04	79,68325
3,10E-04	79,79148
3,10E-04	79,90195
3,10E-04	80,01245
3,10E-04	80,12373
3,10E-04	80,23413
3,10E-04	80,3904
3,10E-04	80,53903
3,10E-04	80,68427
3,20E-04	80,82841
3,20E-04	80,98047
3,20E-04	81,08576
3,20E-04	81,19771
3,20E-04	81,30955
3,20E-04	81,41936
3,20E-04	81,52865
3,20E-04	81,63702
3,20E-04	81,74809
3,20E-04	81,85738
3,20E-04	81,96667
3,20E-04	82,07579
3,20E-04	82,18509
3,20E-04	82,29388
3,20E-04	82,40136
3,30E-04	82,51199
3,30E-04	82,62267
3,30E-04	82,73792
3,30E-04	82,86035
3,30E-04	82,98103
3,30E-04	83,10192
3,30E-04	83,22356
3,30E-04	83,34586
3,30E-04	83,46908
3,30E-04	83,59084
3,30E-04	83,70907
3,30E-04	83,82249
3,30E-04	83,93481
3,30E-04	84,04618
3,40E-04	84,15462
3,40E-04	84,25999
3,40E-04	84,41547
3,40E-04	84,56946
3,40E-04	84,71732
3,40E-04	84,86544
3,40E-04	85,02303
3,40E-04	85,1741
3,40E-04	85,3228
3,40E-04	85,47627
3,40E-04	85,6338
3,50E-04	85,74089
3,50E-04	85,89568
3,50E-04	86,00174
3,50E-04	86,10965
3,50E-04	86,21856
3,50E-04	86,3306
3,50E-04	86,44219
3,50E-04	86,55309
3,50E-04	86,66619
3,50E-04	86,7811
3,50E-04	86,89692
3,50E-04	87,01108
3,50E-04	87,12323
3,50E-04	87,23288
3,50E-04	87,34192
3,50E-04	87,45143
3,50E-04	87,56219
3,50E-04	87,67268
3,60E-04	87,78308
3,60E-04	87,89783
3,60E-04	88,01466
3,60E-04	88,13006
3,60E-04	88,2428
3,60E-04	88,35113
3,60E-04	88,45898
3,60E-04	88,56561
3,60E-04	88,67161
3,60E-04	88,82856
3,60E-04	88,98484
3,60E-04	89,1393
3,60E-04	89,29075
3,60E-04	89,44287
3,70E-04	89,59515
3,70E-04	89,74644
3,70E-04	89,88993
3,70E-04	90,03499
3,70E-04	90,1805
3,70E-04	90,32555
3,70E-04	90,4716
3,70E-04	90,62185
3,70E-04	90,7757
3,70E-04	90,93127
3,70E-04	91,08975
3,70E-04	91,1998
3,70E-04	91,31204
3,70E-04	91,4226
3,80E-04	91,5331
3,80E-04	91,64429
3,80E-04	91,75694
3,80E-04	91,87013
3,80E-04	91,98373
3,80E-04	92,09601
3,80E-04	92,20937
3,80E-04	92,32384
3,80E-04	92,43797
3,80E-04	92,55234
3,80E-04	92,66534
3,80E-04	92,77711
3,80E-04	92,8886
3,90E-04	93,00004
3,90E-04	93,10876
3,90E-04	93,21536
3,80E-04	93,36958
3,90E-04	93,52392
3,90E-04	93,63034
3,90E-04	93,73769
3,90E-04	93,89116
3,90E-04	94,03646
3,90E-04	94,1866
3,90E-04	94,33509
4,00E-04	94,48619
4,00E-04	94,63692
4,00E-04	94,7847
4,00E-04	94,93317
4,00E-04	95,08556
4,00E-04	95,24184
4,00E-04	95,34731
4,00E-04	95,45341
4,00E-04	95,55955
4,00E-04	95,71686
4,00E-04	95,82317
4,00E-04	95,93172
4,00E-04	96,0823
4,00E-04	96,2319
4,00E-04	96,39042
4,00E-04	96,5029
4,00E-04	96,6213
4,00E-04	96,74168
4,00E-04	96,86189
4,10E-04	96,98071
4,10E-04	97,09819
4,10E-04	97,21631
4,10E-04	97,33329
4,10E-04	97,44862
4,10E-04	97,56091
4,10E-04	97,67107
4,10E-04	97,77788
4,10E-04	97,93183
4,10E-04	98,07596
4,10E-04	98,22151
4,10E-04	98,37267
4,20E-04	98,52501
4,20E-04	98,66857
4,20E-04	98,80577
4,20E-04	98,95128
4,20E-04	99,09899
4,20E-04	99,24033
4,20E-04	99,377
4,20E-04	99,52108
4,20E-04	99,67744
4,20E-04	99,83422
4,20E-04	99,99161
4,30E-04	100,14041
4,30E-04	100,28208
4,30E-04	100,427
4,30E-04	100,57767
4,30E-04	100,72758
4,30E-04	100,87357
4,30E-04	101,02495
4,30E-04	101,17962
4,30E-04	101,28589
4,30E-04	101,39641
4,30E-04	101,50694
4,30E-04	101,61396
4,30E-04	101,71957
4,30E-04	101,87883
4,30E-04	101,98942
4,40E-04	102,09932
4,40E-04	102,20667
4,40E-04	102,35413
4,40E-04	102,49254
4,40E-04	102,62853
4,40E-04	102,76766
4,40E-04	102,91219
4,40E-04	103,06226
4,40E-04	103,21543
4,40E-04	103,36577
4,40E-04	103,51259
4,40E-04	103,6615
4,40E-04	103,80389
4,40E-04	103,95136
4,40E-04	104,10304
4,50E-04	104,25259
4,50E-04	104,40408
4,50E-04	104,51218
4,50E-04	104,62263
4,50E-04	104,72897
4,50E-04	104,8344
4,50E-04	104,94077
4,50E-04	105,04635
4,50E-04	105,20333
4,50E-04	105,30984
4,50E-04	105,4175
4,50E-04	105,52383
4,50E-04	105,67757
4,60E-04	105,83109
4,60E-04	105,98213
4,60E-04	106,13007
4,60E-04	106,2753
4,60E-04	106,41936
