Strain	Stress
0	0,21382
0	0,32735
0	0,44807
0	0,56746
0	0,69852
0	0,81598
0	0,96405
0	1,07497
1,00E-05	1,19354
1,00E-05	1,31571
1,00E-05	1,44332
1,00E-05	1,58088
1,00E-05	1,72818
1,00E-05	1,88036
1,00E-05	2,03868
1,00E-05	2,2014
1,00E-05	2,3639
1,00E-05	2,52562
1,00E-05	2,68128
1,00E-05	2,82783
1,00E-05	2,96368
1,00E-05	3,0863
1,00E-05	3,1943
1,00E-05	3,33324
2,00E-05	3,45035
2,00E-05	3,57306
1,00E-05	3,69402
1,00E-05	3,80671
2,00E-05	3,91213
2,00E-05	4,02455
2,00E-05	4,13429
2,00E-05	4,24462
2,00E-05	4,35901
2,00E-05	4,4649
2,00E-05	4,57524
2,00E-05	4,68895
3,00E-05	4,79994
3,00E-05	4,91042
3,00E-05	5,0173
3,00E-05	5,12578
3,00E-05	5,23816
3,00E-05	5,35172
3,00E-05	5,46291
3,00E-05	5,56824
3,00E-05	5,67788
3,00E-05	5,78333
3,00E-05	5,89995
3,00E-05	6,00598
3,00E-05	6,1142
3,00E-05	6,22183
3,00E-05	6,32782
3,00E-05	6,44305
3,00E-05	6,55036
3,00E-05	6,66933
3,00E-05	6,7778
3,00E-05	6,89851
4,00E-05	7,03438
4,00E-05	7,16192
4,00E-05	7,29224
4,00E-05	7,39779
4,00E-05	7,51083
4,00E-05	7,62735
4,00E-05	7,74072
4,00E-05	7,87825
4,00E-05	8,01626
4,00E-05	8,12616
4,00E-05	8,26141
4,00E-05	8,38247
4,00E-05	8,49702
4,00E-05	8,61388
4,00E-05	8,73264
4,00E-05	8,85275
4,00E-05	8,95902
4,00E-05	9,07444
4,00E-05	9,18914
4,00E-05	9,3006
4,00E-05	9,40593
4,00E-05	9,5201
5,00E-05	9,6319
5,00E-05	9,74019
5,00E-05	9,85499
5,00E-05	9,96627
5,00E-05	10,07233
5,00E-05	10,18841
5,00E-05	10,29605
5,00E-05	10,41886
5,00E-05	10,53234
5,00E-05	10,64275
5,00E-05	10,75154
5,00E-05	10,86462
5,00E-05	10,98307
5,00E-05	11,10183
5,00E-05	11,20709
5,00E-05	11,32738
5,00E-05	11,44767
5,00E-05	11,55616
5,00E-05	11,66682
5,00E-05	11,78273
5,00E-05	11,89935
5,00E-05	12,00895
5,00E-05	12,12086
5,00E-05	12,23742
5,00E-05	12,35469
5,00E-05	12,47956
5,00E-05	12,61629
6,00E-05	12,75098
6,00E-05	12,87281
6,00E-05	12,97912
6,00E-05	13,08739
6,00E-05	13,1976
5,00E-05	13,31525
5,00E-05	13,43594
5,00E-05	13,56152
5,00E-05	13,68498
5,00E-05	13,80688
5,00E-05	13,93044
5,00E-05	14,04734
6,00E-05	14,17362
5,00E-05	14,31423
5,00E-05	14,44873
5,00E-05	14,58636
5,00E-05	14,69378
6,00E-05	14,80329
6,00E-05	14,91806
6,00E-05	15,03369
6,00E-05	15,15024
6,00E-05	15,27112
6,00E-05	15,3935
6,00E-05	15,52381
6,00E-05	15,65801
6,00E-05	15,79591
6,00E-05	15,942
6,00E-05	16,08624
6,00E-05	16,22224
6,00E-05	16,35385
6,00E-05	16,48711
6,00E-05	16,62292
6,00E-05	16,75472
6,00E-05	16,8859
6,00E-05	17,01684
6,00E-05	17,14792
6,00E-05	17,27016
6,00E-05	17,3904
6,00E-05	17,52303
7,00E-05	17,6603
7,00E-05	17,79351
7,00E-05	17,93216
7,00E-05	18,0735
6,00E-05	18,2125
7,00E-05	18,34931
7,00E-05	18,48611
7,00E-05	18,61493
7,00E-05	18,74454
7,00E-05	18,87878
7,00E-05	19,02146
7,00E-05	19,16754
7,00E-05	19,30717
7,00E-05	19,45041
7,00E-05	19,59295
7,00E-05	19,73484
7,00E-05	19,8644
7,00E-05	19,99411
7,00E-05	20,12914
7,00E-05	20,2617
7,00E-05	20,38966
7,00E-05	20,51436
7,00E-05	20,64329
7,00E-05	20,77798
7,00E-05	20,92241
8,00E-05	21,06708
8,00E-05	21,21052
8,00E-05	21,34855
8,00E-05	21,48815
8,00E-05	21,63338
8,00E-05	21,78156
8,00E-05	21,93088
8,00E-05	22,07862
8,00E-05	22,22648
8,00E-05	22,36889
8,00E-05	22,50875
8,00E-05	22,64282
8,00E-05	22,77913
8,00E-05	22,92167
8,00E-05	23,07088
8,00E-05	23,22333
8,00E-05	23,38044
8,00E-05	23,53866
9,00E-05	23,64767
9,00E-05	23,80151
9,00E-05	23,9533
9,00E-05	24,05903
9,00E-05	24,16599
9,00E-05	24,32359
9,00E-05	24,47929
9,00E-05	24,63766
9,00E-05	24,74446
9,00E-05	24,89407
9,00E-05	25,04649
9,00E-05	25,15341
9,00E-05	25,26193
9,00E-05	25,37065
9,00E-05	25,47906
9,00E-05	25,58682
9,00E-05	25,74197
9,00E-05	25,89081
9,00E-05	26,03902
9,00E-05	26,18454
9,00E-05	26,33088
9,00E-05	26,48783
9,00E-05	26,60026
9,00E-05	26,71365
9,00E-05	26,82575
9,00E-05	26,9384
1,00E-04	27,04729
1,00E-04	27,20391
1,00E-04	27,31117
1,00E-04	27,42322
1,00E-04	27,53462
1,00E-04	27,64447
1,00E-04	27,75286
1,00E-04	27,86102
1,00E-04	27,97133
1,00E-04	28,0842
1,00E-04	28,19698
1,00E-04	28,30724
1,00E-04	28,41564
1,00E-04	28,5214
1,00E-04	28,62755
1,00E-04	28,73308
1,00E-04	28,89045
1,00E-04	28,99595
1,00E-04	29,15086
1,00E-04	29,25721
1,00E-04	29,3652
1,00E-04	29,4731
1,00E-04	29,58042
